output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
79,8.27286065445312,19.0764999734084,19.0764999734084,0.0386409531094317,19.0007637053139,19.1522362415029,Constrained GP mean
79.1,8.28333262996509,18.9832705548027,18.9832705548027,0.0383767705619846,18.9080520845012,19.0584890251042,Constrained GP mean
79.25,8.29904059323304,18.8434004524161,18.8434004524161,0.0386972659847802,18.7675538110859,18.9192470937463,Constrained GP mean
79.5,8.32522053201295,18.6102063209536,18.6102063209536,0.0388229753597734,18.5341132892485,18.6862993526588,Constrained GP mean
79.7,8.34616448303688,18.4235727523367,18.4235727523367,0.0382771862687144,18.34854946725,18.4985960374234,Constrained GP mean
79.75,8.35140047079287,18.3769024825838,18.3769024825838,0.0383369795048979,18.3017620027542,18.4520429624134,Constrained GP mean
80,8.37758040957278,18.1434736522787,18.1434736522787,0.0389833400295672,18.0670663058207,18.2198809987366,Constrained GP mean
80.25,8.4037603483527,17.9099041382298,17.9099041382298,0.038412455979872,17.8346157245093,17.9851925519504,Constrained GP mean
80.3,8.40899633610868,17.8631719674898,17.8631719674898,0.0383767705634658,17.7879534971854,17.9383904377942,Constrained GP mean
80.5,8.42994028713261,17.676178130164,17.676178130164,0.039048163629378,17.5996437294504,17.7527125308776,Constrained GP mean
80.75,8.45612022591253,17.4422793638552,17.4422793638552,0.0389533667905594,17.3659307649458,17.5186279627647,Constrained GP mean
80.925,8.47444618305847,17.278438616392,17.278438616392,0.0383752688683811,17.20322308941,17.353654143374,Constrained GP mean
81,8.48230016469244,17.2081913648433,17.2081913648433,0.0384659199639527,17.132798161714,17.2835845679727,Constrained GP mean
