output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
122,12.7758101245985,101.138687206413,101.138687206413,1.63821731534745,97.9277812683315,104.349593144494,GP fitted to digitized manufacturer curve
122.5,12.8281700021583,100.800563377225,100.800563377225,1.70880304718671,97.4513094047395,104.149817349711,GP fitted to digitized manufacturer curve
123,12.8805298797182,100.460134526225,100.460134526225,1.6350408710095,97.2554544190459,103.664814633403,GP fitted to digitized manufacturer curve
123.5,12.932889757278,100.116809178747,100.116809178747,1.41978908284692,97.3340225763671,102.899595781127,GP fitted to digitized manufacturer curve
124,12.9852496348378,99.769928146714,99.769928146714,1.07203960353949,97.6687305237766,101.871125769651,GP fitted to digitized manufacturer curve
124.5,13.0376095123976,99.4187633673165,99.4187633673165,0.610771722649565,98.2216507909234,100.61587594371,GP fitted to digitized manufacturer curve
125,13.0899693899575,99.0625165598209,99.0625165598209,0.170310903263965,98.7287071894235,99.3963259302183,GP fitted to digitized manufacturer curve
125.012,13.0912260270189,99.0538971228495,99.0538971228495,0.169671493901171,98.7213409948032,99.3864532508958,GP fitted to digitized manufacturer curve
125.5,13.1423292675173,98.7006103576124,98.7006103576124,0.58631241665311,97.5514380209723,99.8497826942525,GP fitted to digitized manufacturer curve
126,13.1946891450771,98.3336529782236,98.3336529782236,1.0517461227923,96.2722305775507,100.395075378897,GP fitted to digitized manufacturer curve
126.5,13.247049022637,97.9625203078652,97.9625203078652,1.40491452729675,95.2088878343636,100.716152781367,GP fitted to digitized manufacturer curve
127,13.2994089001968,97.588021006882,97.588021006882,1.62608575905659,94.4008929191311,100.775149094633,GP fitted to digitized manufacturer curve
127.5,13.3517687777566,97.2108994144104,97.2108994144104,1.70603136557916,93.8670779378753,100.554720890946,GP fitted to digitized manufacturer curve
128,13.4041286553165,96.8318382876068,96.8318382876068,1.64175039277844,93.614007517761,100.049669057452,GP fitted to digitized manufacturer curve
128.5,13.4564885328763,96.4514613772191,96.4514613772191,1.43587210023909,93.6371520607505,99.2657706936877,GP fitted to digitized manufacturer curve
129,13.5088484104361,96.0703358452548,96.0703358452548,1.09712951208209,93.9199620015739,98.2207096889357,GP fitted to digitized manufacturer curve
129.5,13.5612082879959,95.6889745302026,95.6889745302026,0.64371373511173,94.4272956093836,96.9506534510216,GP fitted to digitized manufacturer curve
130,13.6135681655558,95.3078380649557,95.3078380649557,0.179076422563087,94.956848276732,95.6588278531794,GP fitted to digitized manufacturer curve
130.047,13.6184899940464,95.2720379266708,95.2720379266708,0.169670540979751,94.9394836663505,95.6045921869911,GP fitted to digitized manufacturer curve
130.5,13.6659280431156,94.9272505512871,94.9272505512871,0.546931999312508,93.8552638326346,95.9992372699396,GP fitted to digitized manufacturer curve
131,13.7182879206754,94.5470290672846,94.5470290672846,1.01186940338497,92.5637650366501,96.5302930979192,GP fitted to digitized manufacturer curve
131.5,13.7706477982353,94.1667907085594,94.1667907085594,1.36401072847108,91.4933296807561,96.8402517363628,GP fitted to digitized manufacturer curve
132,13.8230076757951,93.7861037218716,93.7861037218716,1.58230650397687,90.6847829740769,96.8874244696662,GP fitted to digitized manufacturer curve
132.5,13.8753675533549,93.4044871319438,93.4044871319438,1.65723866871999,90.1562993412527,96.652674922635,GP fitted to digitized manufacturer curve
133,13.9277274309147,93.0214101380037,93.0214101380037,1.5858020807814,89.9132380596721,96.1295822163352,GP fitted to digitized manufacturer curve
133.5,13.9800873084746,92.6362913756632,92.6362913756632,1.37086042953284,89.9494049337789,95.3231778175476,GP fitted to digitized manufacturer curve
134,14.0324471860344,92.2484980431217,92.2484980431217,1.02175424337984,90.2458597260972,94.2511363601462,GP fitted to digitized manufacturer curve
134.5,14.0848070635942,91.8573448903825,91.8573448903825,0.559047324271252,90.7616121348109,92.9530776459542,GP fitted to digitized manufacturer curve
134.965,14.1335017497249,91.489910418183,91.489910418183,0.169670534403932,91.1573561707513,91.8224646656147,GP fitted to digitized manufacturer curve
135,14.1371669411541,91.4620931639097,91.4620931639097,0.174967320739036,91.1191572152611,91.8050291125582,GP fitted to digitized manufacturer curve
135.5,14.1895268187139,91.0622846438036,91.0622846438036,0.631695438921887,89.8241615835167,92.3004077040905,GP fitted to digitized manufacturer curve
136,14.2418866962737,90.6584945000007,90.6584945000007,1.08743363093532,88.5271245833675,92.7898644166339,GP fitted to digitized manufacturer curve
136.5,14.2942465738336,90.2514652991804,90.2514652991804,1.42915344495787,87.4503245470629,93.0526060512978,GP fitted to digitized manufacturer curve
137,14.3466064513934,89.8418893198808,89.8418893198808,1.63830220393998,86.6308170001584,93.0529616396031,GP fitted to digitized manufacturer curve
137.5,14.3989663289532,89.4304112101623,89.4304112101623,1.70598819217492,86.0866743534995,92.7741480668252,GP fitted to digitized manufacturer curve
138,14.451326206513,89.0176305196507,89.0176305196507,1.62945412562179,85.8239004334319,92.2113606058694,GP fitted to digitized manufacturer curve
